ID,Exited,gender,age,term_deposit,Own_car,Own_property,Geography,credit_score,tenure,balance,Unemployed,Num_children,Account_length,Total_income,credit_card,Years_employed,Income_type,Education_type,Family_status,Housing_type,Occupation_type,Target
5008804,1,Female,42,0,1,1,Greece,619,2,0,0,0,15,427500,1,12.43557363,Working,Higher education,Civil marriage,Rented apartment,Other,1
5008806,0,Female,41,0,1,1,Spain,608,1,83807.86,0,0,29,112500,0,3.104786546,Working,Secondary / secondary special,Married,House / apartment,Security staff,0
5008808,1,Female,42,0,0,1,Greece,502,8,159660.8,0,0,4,270000,1,8.353354278,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Sales staff,0
5008812,0,Female,39,0,0,1,Greece,699,1,0,1,0,20,283500,0,0,Pensioner,Higher education,Separated,House / apartment,Other,0
5008815,0,Female,43,0,1,1,Spain,850,2,125510.82,0,0,5,270000,1,2.105450488,Working,Higher education,Married,House / apartment,Accountants,0
5008819,1,Male,44,0,1,1,Spain,645,8,113755.78,0,0,17,135000,1,3.269060966,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,0
5008825,0,Male,50,0,1,0,Greece,822,7,0,0,0,25,130500,1,3.019911429,Working,Incomplete higher,Married,House / apartment,Accountants,1
5008830,1,Female,29,0,0,1,Netherlands,376,4,115046.74,0,0,31,157500,1,4.021985393,Working,Secondary / secondary special,Married,House / apartment,Laborers,1
5008834,0,Male,44,0,0,1,Greece,501,4,142051.07,0,1,44,112500,0,4.435409351,Working,Secondary / secondary special,Single / not married,House / apartment,Other,0
5008836,0,Male,27,0,1,1,Greece,684,2,134603.88,0,3,24,270000,1,3.184185849,Working,Secondary / secondary special,Married,House / apartment,Laborers,0
5008838,0,Male,31,0,0,1,Greece,528,6,102016.72,0,1,39,405000,0,5.519620526,Commercial associate,Higher education,Married,House / apartment,Managers,0
5008844,0,Male,24,0,1,1,Spain,497,3,0,0,0,43,112500,1,12.18368618,Commercial associate,Secondary / secondary special,Married,House / apartment,Drivers,0
5008854,0,Female,34,0,1,1,Greece,476,10,0,0,2,39,135000,1,8.687378933,Working,Secondary / secondary special,Married,House / apartment,Laborers,0
5008868,0,Female,25,0,0,1,Greece,549,5,0,0,1,24,211500,0,19.43640184,State servant,Secondary / secondary special,Civil marriage,House / apartment,Core staff,0
5008872,0,Female,35,0,1,1,Spain,635,7,0,0,0,10,360000,1,14.68613319,Commercial associate,Secondary / secondary special,Married,House / apartment,Security staff,1
5008873,0,Male,45,0,0,1,Netherlands,616,3,143129.41,0,2,21,126000,0,4.854309123,Commercial associate,Higher education,Married,House / apartment,Managers,0
5008884,1,Male,58,0,0,1,Netherlands,653,1,132602.88,1,0,40,315000,1,0,Pensioner,Secondary / secondary special,Widow,House / apartment,Other,0
5008888,0,Female,24,0,0,1,Spain,549,9,0,0,0,11,247500,1,3.687960738,Commercial associate,Higher education,Separated,Rented apartment,Core staff,0
5008891,0,Male,45,0,0,1,Spain,587,6,0,0,0,7,297000,0,8.854391261,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,Laborers,0
5008942,0,Female,24,0,0,0,Greece,726,6,0,0,0,43,157500,1,13.26789736,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,1
5008947,0,Male,41,0,0,1,Greece,732,8,0,0,0,12,135000,1,3.854973066,Working,Secondary / secondary special,Married,House / apartment,Drivers,0
5008951,0,Female,32,0,0,1,Spain,636,8,0,0,1,45,225000,1,7.688042876,Working,Secondary / secondary special,Married,House / apartment,Other,0
5008955,1,Female,38,0,1,1,Spain,510,4,0,0,0,4,135000,1,4.687296796,Working,Secondary / secondary special,Married,House / apartment,Laborers,0
5008966,0,Male,46,0,0,1,Greece,669,3,0,0,0,15,157500,0,2.433999329,Working,Secondary / secondary special,Married,House / apartment,Other,1
5008974,0,Female,38,0,0,1,Greece,846,5,0,1,0,49,112500,1,0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,0
5008981,0,Male,25,0,1,1,Greece,577,3,0,0,0,10,112500,0,6.518956584,State servant,Secondary / secondary special,Married,House / apartment,Drivers,0
5008991,0,Male,36,0,1,1,Netherlands,756,2,136815.64,0,0,30,270000,1,3.269060966,Working,Secondary / secondary special,Separated,House / apartment,Cleaning staff,0
5008998,0,Male,44,0,1,1,Greece,571,9,0,0,0,4,270000,0,2.266987002,Working,Higher education,Married,House / apartment,Managers,0
5009000,0,Female,43,0,1,1,Netherlands,574,3,141349.43,0,0,22,157500,1,2.266987002,Working,Secondary / secondary special,Married,House / apartment,Drivers,0
5009001,0,Male,29,0,0,1,Greece,411,0,59697.17,0,0,40,166500,1,17.18310438,Working,Secondary / secondary special,Married,House / apartment,Laborers,0
